Date;Price;Open;High;Low;Vol.;Change %
16/05/2024;57,02;57,02;57,02;57,02;;0,41%
15/05/2024;56,79;56,79;56,79;56,79;;0,19%
14/05/2024;56,68;56,68;56,68;56,68;;0,76%
13/05/2024;56,25;56,25;56,25;56,25;;-11,11%
10/05/2024;63,28;63,28;63,28;63,28;;-4,28%
09/05/2024;66,11;66,11;66,11;66,11;;3,86%
08/05/2024;63,65;63,65;63,65;63,65;;-0,24%
07/05/2024;63,8;63,8;63,8;63,8;;-4,53%
06/05/2024;66,83;66,83;66,83;66,83;;2,36%
03/05/2024;65,29;65,29;65,29;65,29;;2,10%
02/05/2024;63,95;63,95;63,95;63,95;;5,75%
01/05/2024;60,47;60,47;60,47;60,47;;0,00%
30/04/2024;60,47;60,47;60,47;60,47;;-3,03%
29/04/2024;62,36;62,36;62,36;62,36;;-0,80%
26/04/2024;62,86;62,86;62,86;62,86;;-0,41%
